# The count includes the diagonal cell (x,x).
# Ratios use exact integer arithmetic and are shown to 50 decimal places.
# "3,1 pattern" means gcd>1 blocks of lengths 3 and 1 alternate between single blue cells without end.
# combined_flag is "both" exactly when x_flag="between_primes" and pattern_flag="3,1 pattern".
# bot_boring__only=True: when True, only rows with at least one interesting flag are written.
column_x  non_blue  x_flag          pattern_flag  combined_flag                                        non_blue/total
--------  --------  --------------  ------------  -------------  ----------------------------------------------------
       2         1  prime           -             -              0.50000000000000000000000000000000000000000000000000
       3         1  prime           -             -              0.33333333333333333333333333333333333333333333333333
       4         2  between_primes  -             -              0.50000000000000000000000000000000000000000000000000
       5         1  prime           -             -              0.20000000000000000000000000000000000000000000000000
       6         4  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667
       7         1  prime           -             -              0.14285714285714285714285714285714285714285714285714
      11         1  prime           -             -              0.09090909090909090909090909090909090909090909090909
      12         8  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667
      13         1  prime           -             -              0.07692307692307692307692307692307692307692307692308
      17         1  prime           -             -              0.05882352941176470588235294117647058823529411764706
      18        12  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667
      19         1  prime           -             -              0.05263157894736842105263157894736842105263157894737
      23         1  prime           -             -              0.04347826086956521739130434782608695652173913043478
      24        16  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
      29         1  prime           -             -              0.03448275862068965517241379310344827586206896551724
      30        22  between_primes  -             -              0.73333333333333333333333333333333333333333333333333
      31         1  prime           -             -              0.03225806451612903225806451612903225806451612903226
      36        24  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
      37         1  prime           -             -              0.02702702702702702702702702702702702702702702702703
      41         1  prime           -             -              0.02439024390243902439024390243902439024390243902439
      42        30  between_primes  -             -              0.71428571428571428571428571428571428571428571428571
      43         1  prime           -             -              0.02325581395348837209302325581395348837209302325581
      47         1  prime           -             -              0.02127659574468085106382978723404255319148936170213
      48        32  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
      53         1  prime           -             -              0.01886792452830188679245283018867924528301886792453
      54        36  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
      59         1  prime           -             -              0.01694915254237288135593220338983050847457627118644
      60        44  between_primes  -             -              0.73333333333333333333333333333333333333333333333333
      61         1  prime           -             -              0.01639344262295081967213114754098360655737704918033
      67         1  prime           -             -              0.01492537313432835820895522388059701492537313432836
      71         1  prime           -             -              0.01408450704225352112676056338028169014084507042254
      72        48  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667
      73         1  prime           -             -              0.01369863013698630136986301369863013698630136986301
      79         1  prime           -             -              0.01265822784810126582278481012658227848101265822785
      83         1  prime           -             -              0.01204819277108433734939759036144578313253012048193
      89         1  prime           -             -              0.01123595505617977528089887640449438202247191011236
      96        64  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
      97         1  prime           -             -              0.01030927835051546391752577319587628865979381443299
     101         1  prime           -             -              0.00990099009900990099009900990099009900990099009901
     102        70  between_primes  -             -              0.68627450980392156862745098039215686274509803921569
     103         1  prime           -             -              0.00970873786407766990291262135922330097087378640777
     107         1  prime           -             -              0.00934579439252336448598130841121495327102803738318
     108        72  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667
     109         1  prime           -             -              0.00917431192660550458715596330275229357798165137615
     113         1  prime           -             -              0.00884955752212389380530973451327433628318584070796
     127         1  prime           -             -              0.00787401574803149606299212598425196850393700787402
     131         1  prime           -             -              0.00763358778625954198473282442748091603053435114504
     137         1  prime           -             -              0.00729927007299270072992700729927007299270072992701
     138        94  between_primes  -             -              0.68115942028985507246376811594202898550724637681159
     139         1  prime           -             -              0.00719424460431654676258992805755395683453237410072
     144        96  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
     149         1  prime           -             -              0.00671140939597315436241610738255033557046979865772
     150       110  between_primes  -             -              0.73333333333333333333333333333333333333333333333333
     151         1  prime           -             -              0.00662251655629139072847682119205298013245033112583
     157         1  prime           -             -              0.00636942675159235668789808917197452229299363057325
     162       108  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
     163         1  prime           -             -              0.00613496932515337423312883435582822085889570552147
     167         1  prime           -             -              0.00598802395209580838323353293413173652694610778443
     173         1  prime           -             -              0.00578034682080924855491329479768786127167630057803
