Real-family intersections with b = a (the line y = x)

Exact family-line slope:
    db/da = -log(2)/log(3) = -log_3(2)
Decimal approximation:
    db/da = -0.630929753571457
Intersection formula:
    x_t = log(k_t)/log(6)
        = (integer_a*log(2) + integer_b*log(3))/log(6)
    intersection coordinate = (x_t, x_t)
Signed-distance formula (Euclidean distance along the family line):
    d_t = sign(integer_b - integer_a)
          * sqrt((integer_a - x_t)^2 + (integer_b - x_t)^2)
    d_t < 0 right of b = a; d_t > 0 left of b = a
Stored intersection data:
    (x_t, d_t)

   t     integer_a     integer_b            intersection_x                distance_d
------------------------------------------------------------------------------------
   1             2             0         0.773705614469083        -1.449971826569616
   2             1             1         1.000000000000000         0.000000000000000
   3             2             1         1.386852807234542        -0.724985913284808
   4             1             2         1.613147192765459         0.724985913284808
   5             3             2         2.386852807234542        -0.724985913284808
   6             2             3         2.613147192765459         0.724985913284808
   7             6             1         2.934264036172708        -3.624929566424042
   8             4             3         3.386852807234542        -0.724985913284808
   9             7             2         3.934264036172708        -3.624929566424042
  10             5             4         4.386852807234542        -0.724985913284808
  11             6             7         6.613147192765458         0.724985913284808
  12             3            10         7.292030349358210         5.074901392993659
  13            18             1         7.576497722987207       -12.324760525841743
  14            12             5         7.707969650641791        -5.074901392993658
  15             2            15         9.970913505950961         9.424816872702509
  16            18             5        10.029086494049041        -9.424816872702507
  17            21             4        10.576497722987208       -12.324760525841741
  18            24             5        12.350203337456289       -13.774732352411359
  19            27             4        12.897614566394457       -16.674676005550591
  20            30             7        15.897614566394457       -16.674676005550591
  21            33             8        17.671320180863539       -18.124647832120207
  22            43             2        17.860965096616205       -29.724422444677142
  23            32             9        17.897614566394456       -16.674676005550591
  24            36             7        18.218731409801705       -21.024591485259439
  25            11            24        18.970913505950961         9.424816872702509
  26            31            12        19.350203337456293       -13.774732352411355
  27            43             8        21.539848253208955       -25.374506964968290
  28            32            15        21.576497722987206       -12.324760525841743
  29            50             9        24.860965096616205       -29.724422444677142
  30            63             2        25.598021241307038       -44.224140710373305
  31            66            25        40.860965096616205       -29.724422444677142
  32            79            20        42.824315626837958       -42.774168883803689
  33            99            10        44.429899843874203       -64.523746282347943
  34            57            64        61.292030349358214         5.074901392993659
  35            82            63        70.350203337456293       -13.774732352411355
  36           148            27        73.809189675379528       -87.723295507461813
  37            63            88        78.328679819136454        18.124647832120207
  38            56            99        82.365329288914722        31.174394271246761
  39           211             2        82.852236712019192      -151.522055876524945
  40           275            16       116.194877073746270      -187.771351540765352
  41           287            10       117.158227603968015      -200.821097979891903
  42            90           169       138.438628228471231        57.273887149499863
  43           148           135       140.029086494049039        -9.424816872702509
  44           298            51       146.552643386931777      -179.071520581347642
  45           160           141       148.350203337456293       -13.774732352411355
  46           363            52       172.311223049942441      -225.470619031575382
  47           134           231       193.475277698249471        70.323633588626407
  48            49           320       215.162889239439238       196.471182500183062
  49           529            44       231.623611508752674      -351.618167943131994
  50           264           419       359.037814878646088       112.372816559145306
  51           960           143       459.058743510620502      -592.313491153688346
  52           541           476       501.145432470245225       -47.124084363512537
  53           988           207       509.132042450177039      -566.213998275435301
  54          1015           332       596.220467341191920      -495.165378773524083
  55          1440            97       616.543320115989331      -973.656081541497542
  56          1295           324       699.634075824739853      -703.961321799548841
  57           979           738       831.231526543524524      -174.721605101638801
  58           258          1493      1015.236783065341228       895.357602906738293
  59           637          1320      1055.779532658808193       495.165378773524139
  60          2320           333      1101.676527975034105     -1440.547009696914074
  61          1036          1167      1116.322282252275045        94.973154640309886
  62          2815           188      1204.262324605140748     -1904.537994199191417
  63          1063          1440      1294.156491672577658       273.319689308372688
  64           180          2251      1449.827836217264576      1501.445826412838187
  65           888          2033      1590.053535716449915       830.108870711105510
  66           300          2819      1844.517778576189812      1826.239515564432168
  67          2176          2175      2175.386852807234391        -0.724985913284855
  68          4014          1879      2704.930743445745975     -1547.844924863065899
  69           280          4311      2751.596334037563338      2922.418216451062563
  70          6228           571      2759.426330525801859     -4101.245311452160422
  71          6981           560      3043.981875252991813     -4655.134549201754453
  72          3505          2892      3129.140770834774230      -444.416364843587417
  73          5899          2570      3857.832995283788932     -2413.478105325126762
  74          1538          5505      3970.354913700574343      2876.019118000834624
  75          6821          2614      4241.489760035716245     -3050.015737189188712
  76          8677          2528      4906.757911685196632     -4457.938380788286850
  77          9646          2829      5466.175586917869623     -4942.228970862538517
  78          5211          5794      5568.464813382262946       422.666787445043440
  79         10031          2956      5692.983611184381516     -5129.275336490019072
  80          2560          9423      6768.029183949341132      4975.578322873639991
  81          2821          9960      7198.257809152608388      5175.674434940247011
  82         17480          4317      9409.143501628272134     -9542.989576567930271
  83         22156          1545      9518.423209911135928    -14942.684658713184035
  84         13895          6868      9586.414676437125308     -5094.476012652347890
  85         19276         13089     15482.458318360109843     -4485.487845493108580
  86         42997           110     16700.956343867783289    -31092.470863045575243
  87          1272         26627     16818.347072568201838     18382.017831336317613
  88         19692         17215     18173.234403519960324     -1795.790107206469884
  89         32763          9442     18463.794317516745650    -16907.396483715012437
  90         46177          1110     18544.295463639082300    -32672.940154006457306
  91         55395          1372     22270.949205231641827    -39165.913993385198410
  92         23075         26092     24924.865080573388695      2187.282500380266811
