# INCLUDE_DIAGONAL=False: The non_blue count excludes the diagonal cell (x,x).
# Ratios use exact integer arithmetic and are shown to 50 decimal places; total is column_x.
# "3,1 pattern" means gcd>1 blocks of lengths 3 and 1 alternate between single blue cells without end.
# combined_flag is "both" exactly when x_flag="between_primes" and pattern_flag="3,1 pattern".
# OUTPUT_MODE='between_primes': only rows with x_flag="between_primes" are written.
column_x  non_blue  x_flag          pattern_flag  combined_flag                                        non_blue/total
--------  --------  --------------  ------------  -------------  ----------------------------------------------------
       4         1  between_primes  -             -              0.25000000000000000000000000000000000000000000000000
       6         3  between_primes  3,1 pattern   both           0.50000000000000000000000000000000000000000000000000
      12         7  between_primes  3,1 pattern   both           0.58333333333333333333333333333333333333333333333333
      18        11  between_primes  3,1 pattern   both           0.61111111111111111111111111111111111111111111111111
      30        21  between_primes  -             -              0.70000000000000000000000000000000000000000000000000
      42        29  between_primes  -             -              0.69047619047619047619047619047619047619047619047619
      60        43  between_primes  -             -              0.71666666666666666666666666666666666666666666666667
      72        47  between_primes  3,1 pattern   both           0.65277777777777777777777777777777777777777777777778
     102        69  between_primes  -             -              0.67647058823529411764705882352941176470588235294118
     108        71  between_primes  3,1 pattern   both           0.65740740740740740740740740740740740740740740740741
     138        93  between_primes  -             -              0.67391304347826086956521739130434782608695652173913
     150       109  between_primes  -             -              0.72666666666666666666666666666666666666666666666667
     180       131  between_primes  -             -              0.72777777777777777777777777777777777777777777777778
     192       127  between_primes  3,1 pattern   both           0.66145833333333333333333333333333333333333333333333
     198       137  between_primes  -             -              0.69191919191919191919191919191919191919191919191919
     228       155  between_primes  -             -              0.67982456140350877192982456140350877192982456140351
     240       175  between_primes  -             -              0.72916666666666666666666666666666666666666666666667
     270       197  between_primes  -             -              0.72962962962962962962962962962962962962962962962963
     282       189  between_primes  -             -              0.67021276595744680851063829787234042553191489361702
     312       215  between_primes  -             -              0.68910256410256410256410256410256410256410256410256
     348       235  between_primes  -             -              0.67528735632183908045977011494252873563218390804598
     420       323  between_primes  -             -              0.76904761904761904761904761904761904761904761904762
     432       287  between_primes  3,1 pattern   both           0.66435185185185185185185185185185185185185185185185
     462       341  between_primes  -             -              0.73809523809523809523809523809523809523809523809524
     522       353  between_primes  -             -              0.67624521072796934865900383141762452107279693486590
     570       425  between_primes  -             -              0.74561403508771929824561403508771929824561403508772
     600       439  between_primes  -             -              0.73166666666666666666666666666666666666666666666667
     618       413  between_primes  -             -              0.66828478964401294498381877022653721682847896440129
     642       429  between_primes  -             -              0.66822429906542056074766355140186915887850467289720
     660       499  between_primes  -             -              0.75606060606060606060606060606060606060606060606061
     810       593  between_primes  -             -              0.73209876543209876543209876543209876543209876543210
     822       549  between_primes  -             -              0.66788321167883211678832116788321167883211678832117
     828       563  between_primes  -             -              0.67995169082125603864734299516908212560386473429952
     858       617  between_primes  -             -              0.71911421911421911421911421911421911421911421911422
     882       629  between_primes  -             -              0.71315192743764172335600907029478458049886621315193
    1020       763  between_primes  -             -              0.74803921568627450980392156862745098039215686274510
    1032       695  between_primes  -             -              0.67344961240310077519379844961240310077519379844961
    1050       809  between_primes  -             -              0.77047619047619047619047619047619047619047619047619
    1062       713  between_primes  -             -              0.67137476459510357815442561205273069679849340866290
    1092       803  between_primes  -             -              0.73534798534798534798534798534798534798534798534799
    1152       767  between_primes  3,1 pattern   both           0.66579861111111111111111111111111111111111111111111
    1230       909  between_primes  -             -              0.73902439024390243902439024390243902439024390243902
    1278       857  between_primes  -             -              0.67057902973395931142410015649452269170579029733959
    1290       953  between_primes  -             -              0.73875968992248062015503875968992248062015503875969
    1302       941  between_primes  -             -              0.72273425499231950844854070660522273425499231950845
    1320       999  between_primes  -             -              0.75681818181818181818181818181818181818181818181818
    1428      1043  between_primes  -             -              0.73039215686274509803921568627450980392156862745098
    1452      1011  between_primes  -             -              0.69628099173553719008264462809917355371900826446281
    1482      1049  between_primes  -             -              0.70782726045883940620782726045883940620782726045884
    1488      1007  between_primes  -             -              0.67674731182795698924731182795698924731182795698925
    1608      1079  between_primes  -             -              0.67101990049751243781094527363184079601990049751244
    1620      1187  between_primes  -             -              0.73271604938271604938271604938271604938271604938272
    1668      1115  between_primes  -             -              0.66846522781774580335731414868105515587529976019185
    1698      1133  between_primes  -             -              0.66725559481743227326266195524146054181389870435807
    1722      1241  between_primes  -             -              0.72067363530778164924506387921022067363530778164925
    1788      1195  between_primes  -             -              0.66834451901565995525727069351230425055928411633110
    1872      1295  between_primes  -             -              0.69177350427350427350427350427350427350427350427350
    1878      1253  between_primes  -             -              0.66719914802981895633652822151224707135250266240682
    1932      1403  between_primes  -             -              0.72619047619047619047619047619047619047619047619048
    1950      1469  between_primes  -             -              0.75333333333333333333333333333333333333333333333333
    1998      1349  between_primes  -             -              0.67517517517517517517517517517517517517517517517518
    2028      1403  between_primes  -             -              0.69181459566074950690335305719921104536489151873767
    2082      1389  between_primes  -             -              0.66714697406340057636887608069164265129682997118156
    2088      1415  between_primes  -             -              0.67768199233716475095785440613026819923371647509579
    2112      1471  between_primes  -             -              0.69649621212121212121212121212121212121212121212121
    2130      1569  between_primes  -             -              0.73661971830985915492957746478873239436619718309859
    2142      1565  between_primes  -             -              0.73062558356676003734827264239028944911297852474323
    2238      1493  between_primes  -             -              0.66711349419124218051831992850759606791778373547811
    2268      1619  between_primes  -             -              0.71384479717813051146384479717813051146384479717813
    2310      1829  between_primes  -             -              0.79177489177489177489177489177489177489177489177489
    2340      1763  between_primes  -             -              0.75341880341880341880341880341880341880341880341880
    2382      1589  between_primes  -             -              0.66708648194794290512174643157010915197313182199832
    2550      1909  between_primes  -             -              0.74862745098039215686274509803921568627450980392157
    2592      1727  between_primes  3,1 pattern   both           0.66628086419753086419753086419753086419753086419753
    2658      1773  between_primes  -             -              0.66704288939051918735891647855530474040632054176072
    2688      1919  between_primes  -             -              0.71391369047619047619047619047619047619047619047619
    2712      1815  between_primes  -             -              0.66924778761061946902654867256637168141592920353982
    2730      2153  between_primes  -             -              0.78864468864468864468864468864468864468864468864469
    2790      2069  between_primes  -             -              0.74157706093189964157706093189964157706093189964158
    2802      1869  between_primes  -             -              0.66702355460385438972162740899357601713062098501071
    2970      2249  between_primes  -             -              0.75723905723905723905723905723905723905723905723906
    3000      2199  between_primes  -             -              0.73300000000000000000000000000000000000000000000000
    3120      2351  between_primes  -             -              0.75352564102564102564102564102564102564102564102564
    3168      2207  between_primes  -             -              0.69665404040404040404040404040404040404040404040404
