# format_version=1
# complete=true
# coverage=exhaustive_square
# bound=6000
# pairs_examined=36012001
# task_count=121
# sieve_cap=10000
# sieve_survivors=957700
# primality_reps=50
# primality_classification=strong_probable_prime
# rigorous_prime_certificates=false
# independent_sympy_confirmation=true
# result_count=73
# config_sha256=b381c913f0200aee8fc987b93ba7007daaea81a06357464374758597e02b7119
# columns=a b minus_gmp_status plus_gmp_status sympy_confirmed
2 0 2 2 1
1 1 2 2 1
2 1 2 2 1
1 2 2 2 1
3 2 2 2 1
2 3 2 2 1
6 1 2 2 1
4 3 2 2 1
7 2 2 2 1
5 4 2 2 1
6 7 2 2 1
3 10 2 2 1
18 1 2 2 1
12 5 2 2 1
2 15 2 2 1
18 5 2 2 1
21 4 2 2 1
24 5 2 2 1
27 4 2 2 1
30 7 2 2 1
33 8 2 2 1
43 2 2 2 1
32 9 2 2 1
36 7 2 2 1
11 24 2 2 1
31 12 2 2 1
43 8 1 1 1
32 15 1 1 1
50 9 1 1 1
63 2 1 1 1
66 25 1 1 1
79 20 1 1 1
99 10 1 1 1
57 64 1 1 1
82 63 1 1 1
148 27 1 1 1
63 88 1 1 1
56 99 1 1 1
211 2 1 1 1
275 16 1 1 1
287 10 1 1 1
90 169 1 1 1
148 135 1 1 1
298 51 1 1 1
160 141 1 1 1
363 52 1 1 1
134 231 1 1 1
49 320 1 1 1
529 44 1 1 1
264 419 1 1 1
960 143 1 1 1
541 476 1 1 1
988 207 1 1 1
1015 332 1 1 1
1440 97 1 1 1
1295 324 1 1 1
979 738 1 1 1
258 1493 1 1 1
637 1320 1 1 1
2320 333 1 1 1
1036 1167 1 1 1
2815 188 1 1 1
1063 1440 1 1 1
180 2251 1 1 1
888 2033 1 1 1
300 2819 1 1 1
2176 2175 1 1 1
4014 1879 1 1 1
280 4311 1 1 1
3505 2892 1 1 1
5899 2570 1 1 1
1538 5505 1 1 1
5211 5794 1 1 1
