# The count includes the diagonal cell (x,x).
# Ratios use exact integer arithmetic and are shown to 50 decimal places.
# "3,1 pattern" means gcd>1 blocks of lengths 3 and 1 alternate between single blue cells without end.
# combined_flag is "both" exactly when x_flag="between_primes" and pattern_flag="3,1 pattern".
# bot_boring__only=False: when True, only rows with at least one interesting flag are written.
column_x  non_blue  x_flag          pattern_flag  combined_flag                                        non_blue/total
--------  --------  --------------  ------------  -------------  ----------------------------------------------------
       1         1  neither         -             -              1.00000000000000000000000000000000000000000000000000
       2         1  prime           -             -              0.50000000000000000000000000000000000000000000000000
       3         1  prime           -             -              0.33333333333333333333333333333333333333333333333333
       4         2  between_primes  -             -              0.50000000000000000000000000000000000000000000000000
       5         1  prime           -             -              0.20000000000000000000000000000000000000000000000000
       6         4  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667
       7         1  prime           -             -              0.14285714285714285714285714285714285714285714285714
       8         4  neither         -             -              0.50000000000000000000000000000000000000000000000000
       9         3  neither         -             -              0.33333333333333333333333333333333333333333333333333
      10         6  neither         -             -              0.60000000000000000000000000000000000000000000000000
      11         1  prime           -             -              0.09090909090909090909090909090909090909090909090909
      12         8  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667
      13         1  prime           -             -              0.07692307692307692307692307692307692307692307692308
      14         8  neither         -             -              0.57142857142857142857142857142857142857142857142857
      15         7  neither         -             -              0.46666666666666666666666666666666666666666666666667
      16         8  neither         -             -              0.50000000000000000000000000000000000000000000000000
      17         1  prime           -             -              0.05882352941176470588235294117647058823529411764706
      18        12  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667
      19         1  prime           -             -              0.05263157894736842105263157894736842105263157894737
      20        12  neither         -             -              0.60000000000000000000000000000000000000000000000000
      21         9  neither         -             -              0.42857142857142857142857142857142857142857142857143
      22        12  neither         -             -              0.54545454545454545454545454545454545454545454545455
      23         1  prime           -             -              0.04347826086956521739130434782608695652173913043478
      24        16  neither         3,1 pattern   -              0.66666666666666666666666666666666666666666666666667
      25         5  neither         -             -              0.20000000000000000000000000000000000000000000000000
      26        14  neither         -             -              0.53846153846153846153846153846153846153846153846154
      27         9  neither         -             -              0.33333333333333333333333333333333333333333333333333
      28        16  neither         -             -              0.57142857142857142857142857142857142857142857142857
      29         1  prime           -             -              0.03448275862068965517241379310344827586206896551724
      30        22  between_primes  -             -              0.73333333333333333333333333333333333333333333333333
