# Source: tppg11_column_stats.txt
# Baseline gold point: r=6, raw_count=4.
# Each row compares r with the preceding gold point in the source table.
# Slopes use Decimal and are shown to 50 decimal places.
    r                                         rise/distance  rise  distance
-----  ----------------------------------------------------  ----  --------
   12  0.66666666666666666666666666666666666666666666666667     4         6
   18  0.66666666666666666666666666666666666666666666666667     4         6
   24  0.66666666666666666666666666666666666666666666666667     4         6
   36  0.66666666666666666666666666666666666666666666666667     8        12
   48  0.66666666666666666666666666666666666666666666666667     8        12
   54  0.66666666666666666666666666666666666666666666666667     4         6
   72  0.66666666666666666666666666666666666666666666666667    12        18
   96  0.66666666666666666666666666666666666666666666666667    16        24
  108  0.66666666666666666666666666666666666666666666666667     8        12
  144  0.66666666666666666666666666666666666666666666666667    24        36
  162  0.66666666666666666666666666666666666666666666666667    12        18
  192  0.66666666666666666666666666666666666666666666666667    20        30
  216  0.66666666666666666666666666666666666666666666666667    16        24
  288  0.66666666666666666666666666666666666666666666666667    48        72
  324  0.66666666666666666666666666666666666666666666666667    24        36
  384  0.66666666666666666666666666666666666666666666666667    40        60
  432  0.66666666666666666666666666666666666666666666666667    32        48
  486  0.66666666666666666666666666666666666666666666666667    36        54
  576  0.66666666666666666666666666666666666666666666666667    60        90
  648  0.66666666666666666666666666666666666666666666666667    48        72
  768  0.66666666666666666666666666666666666666666666666667    80       120
  864  0.66666666666666666666666666666666666666666666666667    64        96
  972  0.66666666666666666666666666666666666666666666666667    72       108
 1152  0.66666666666666666666666666666666666666666666666667   120       180
 1296  0.66666666666666666666666666666666666666666666666667    96       144
 1458  0.66666666666666666666666666666666666666666666666667   108       162
 1536  0.66666666666666666666666666666666666666666666666667    52        78
 1728  0.66666666666666666666666666666666666666666666666667   128       192
 1944  0.66666666666666666666666666666666666666666666666667   144       216
 2304  0.66666666666666666666666666666666666666666666666667   240       360
 2592  0.66666666666666666666666666666666666666666666666667   192       288
 2916  0.66666666666666666666666666666666666666666666666667   216       324
 3072  0.66666666666666666666666666666666666666666666666667   104       156
 3456  0.66666666666666666666666666666666666666666666666667   256       384
 3888  0.66666666666666666666666666666666666666666666666667   288       432
 4374  0.66666666666666666666666666666666666666666666666667   324       486
 4608  0.66666666666666666666666666666666666666666666666667   156       234
 5184  0.66666666666666666666666666666666666666666666666667   384       576
 5832  0.66666666666666666666666666666666666666666666666667   432       648
 6144  0.66666666666666666666666666666666666666666666666667   208       312
 6912  0.66666666666666666666666666666666666666666666666667   512       768
 7776  0.66666666666666666666666666666666666666666666666667   576       864
 8748  0.66666666666666666666666666666666666666666666666667   648       972
 9216  0.66666666666666666666666666666666666666666666666667   312       468
10368  0.66666666666666666666666666666666666666666666666667   768      1152
11664  0.66666666666666666666666666666666666666666666666667   864      1296
12288  0.66666666666666666666666666666666666666666666666667   416       624
13122  0.66666666666666666666666666666666666666666666666667   556       834
13824  0.66666666666666666666666666666666666666666666666667   468       702
15552  0.66666666666666666666666666666666666666666666666667  1152      1728
17496  0.66666666666666666666666666666666666666666666666667  1296      1944
18432  0.66666666666666666666666666666666666666666666666667   624       936
