# INCLUDE_DIAGONAL=False: The non_blue count excludes the diagonal cell (x,x).
# Ratios use exact integer arithmetic and are shown to 50 decimal places; total is column_x.
# "3,1 pattern" means gcd>1 blocks of lengths 3 and 1 alternate between single blue cells without end.
# combined_flag is "both" exactly when x_flag="between_primes" and pattern_flag="3,1 pattern".
# OUTPUT_MODE='interesting_but_only_prime_excluded': only interesting rows whose x_flag is not "prime" are written.
column_x  non_blue  x_flag          pattern_flag  combined_flag                                        non_blue/total  column_x - non_blue
--------  --------  --------------  ------------  -------------  ----------------------------------------------------  -------------------
       4         1  between_primes  -             -              0.25000000000000000000000000000000000000000000000000                    3
       6         3  between_primes  3,1 pattern   both           0.50000000000000000000000000000000000000000000000000                    3
      12         7  between_primes  3,1 pattern   both           0.58333333333333333333333333333333333333333333333333                    5
      18        11  between_primes  3,1 pattern   both           0.61111111111111111111111111111111111111111111111111                    7
      24        15  neither         3,1 pattern   -              0.62500000000000000000000000000000000000000000000000                    9
      30        21  between_primes  -             -              0.70000000000000000000000000000000000000000000000000                    9
      36        23  neither         3,1 pattern   -              0.63888888888888888888888888888888888888888888888889                   13
      42        29  between_primes  -             -              0.69047619047619047619047619047619047619047619047619                   13
      48        31  neither         3,1 pattern   -              0.64583333333333333333333333333333333333333333333333                   17
      54        35  neither         3,1 pattern   -              0.64814814814814814814814814814814814814814814814815                   19
      60        43  between_primes  -             -              0.71666666666666666666666666666666666666666666666667                   17
      72        47  between_primes  3,1 pattern   both           0.65277777777777777777777777777777777777777777777778                   25
      96        63  neither         3,1 pattern   -              0.65625000000000000000000000000000000000000000000000                   33
     102        69  between_primes  -             -              0.67647058823529411764705882352941176470588235294118                   33
     108        71  between_primes  3,1 pattern   both           0.65740740740740740740740740740740740740740740740741                   37
     138        93  between_primes  -             -              0.67391304347826086956521739130434782608695652173913                   45
     144        95  neither         3,1 pattern   -              0.65972222222222222222222222222222222222222222222222                   49
     150       109  between_primes  -             -              0.72666666666666666666666666666666666666666666666667                   41
     162       107  neither         3,1 pattern   -              0.66049382716049382716049382716049382716049382716049                   55
     180       131  between_primes  -             -              0.72777777777777777777777777777777777777777777777778                   49
     192       127  between_primes  3,1 pattern   both           0.66145833333333333333333333333333333333333333333333                   65
     198       137  between_primes  -             -              0.69191919191919191919191919191919191919191919191919                   61
     216       143  neither         3,1 pattern   -              0.66203703703703703703703703703703703703703703703704                   73
     228       155  between_primes  -             -              0.67982456140350877192982456140350877192982456140351                   73
     240       175  between_primes  -             -              0.72916666666666666666666666666666666666666666666667                   65
     270       197  between_primes  -             -              0.72962962962962962962962962962962962962962962962963                   73
     282       189  between_primes  -             -              0.67021276595744680851063829787234042553191489361702                   93
     288       191  neither         3,1 pattern   -              0.66319444444444444444444444444444444444444444444444                   97
     312       215  between_primes  -             -              0.68910256410256410256410256410256410256410256410256                   97
     324       215  neither         3,1 pattern   -              0.66358024691358024691358024691358024691358024691358                  109
     348       235  between_primes  -             -              0.67528735632183908045977011494252873563218390804598                  113
     384       255  neither         3,1 pattern   -              0.66406250000000000000000000000000000000000000000000                  129
     420       323  between_primes  -             -              0.76904761904761904761904761904761904761904761904762                   97
     432       287  between_primes  3,1 pattern   both           0.66435185185185185185185185185185185185185185185185                  145
     462       341  between_primes  -             -              0.73809523809523809523809523809523809523809523809524                  121
     486       323  neither         3,1 pattern   -              0.66460905349794238683127572016460905349794238683128                  163
     522       353  between_primes  -             -              0.67624521072796934865900383141762452107279693486590                  169
     570       425  between_primes  -             -              0.74561403508771929824561403508771929824561403508772                  145
     576       383  neither         3,1 pattern   -              0.66493055555555555555555555555555555555555555555556                  193
     600       439  between_primes  -             -              0.73166666666666666666666666666666666666666666666667                  161
     618       413  between_primes  -             -              0.66828478964401294498381877022653721682847896440129                  205
     642       429  between_primes  -             -              0.66822429906542056074766355140186915887850467289720                  213
     648       431  neither         3,1 pattern   -              0.66512345679012345679012345679012345679012345679012                  217
     660       499  between_primes  -             -              0.75606060606060606060606060606060606060606060606061                  161
     768       511  neither         3,1 pattern   -              0.66536458333333333333333333333333333333333333333333                  257
     810       593  between_primes  -             -              0.73209876543209876543209876543209876543209876543210                  217
     822       549  between_primes  -             -              0.66788321167883211678832116788321167883211678832117                  273
     828       563  between_primes  -             -              0.67995169082125603864734299516908212560386473429952                  265
     858       617  between_primes  -             -              0.71911421911421911421911421911421911421911421911422                  241
     864       575  neither         3,1 pattern   -              0.66550925925925925925925925925925925925925925925926                  289
     882       629  between_primes  -             -              0.71315192743764172335600907029478458049886621315193                  253
     972       647  neither         3,1 pattern   -              0.66563786008230452674897119341563786008230452674897                  325
    1020       763  between_primes  -             -              0.74803921568627450980392156862745098039215686274510                  257
    1032       695  between_primes  -             -              0.67344961240310077519379844961240310077519379844961                  337
    1050       809  between_primes  -             -              0.77047619047619047619047619047619047619047619047619                  241
    1062       713  between_primes  -             -              0.67137476459510357815442561205273069679849340866290                  349
    1092       803  between_primes  -             -              0.73534798534798534798534798534798534798534798534799                  289
    1152       767  between_primes  3,1 pattern   both           0.66579861111111111111111111111111111111111111111111                  385
    1230       909  between_primes  -             -              0.73902439024390243902439024390243902439024390243902                  321
    1278       857  between_primes  -             -              0.67057902973395931142410015649452269170579029733959                  421
    1290       953  between_primes  -             -              0.73875968992248062015503875968992248062015503875969                  337
    1296       863  neither         3,1 pattern   -              0.66589506172839506172839506172839506172839506172840                  433
    1302       941  between_primes  -             -              0.72273425499231950844854070660522273425499231950845                  361
    1320       999  between_primes  -             -              0.75681818181818181818181818181818181818181818181818                  321
    1428      1043  between_primes  -             -              0.73039215686274509803921568627450980392156862745098                  385
    1452      1011  between_primes  -             -              0.69628099173553719008264462809917355371900826446281                  441
    1458       971  neither         3,1 pattern   -              0.66598079561042524005486968449931412894375857338820                  487
    1482      1049  between_primes  -             -              0.70782726045883940620782726045883940620782726045884                  433
    1488      1007  between_primes  -             -              0.67674731182795698924731182795698924731182795698925                  481
    1536      1023  neither         3,1 pattern   -              0.66601562500000000000000000000000000000000000000000                  513
    1608      1079  between_primes  -             -              0.67101990049751243781094527363184079601990049751244                  529
    1620      1187  between_primes  -             -              0.73271604938271604938271604938271604938271604938272                  433
    1668      1115  between_primes  -             -              0.66846522781774580335731414868105515587529976019185                  553
    1698      1133  between_primes  -             -              0.66725559481743227326266195524146054181389870435807                  565
    1722      1241  between_primes  -             -              0.72067363530778164924506387921022067363530778164925                  481
    1728      1151  neither         3,1 pattern   -              0.66608796296296296296296296296296296296296296296296                  577
    1788      1195  between_primes  -             -              0.66834451901565995525727069351230425055928411633110                  593
    1872      1295  between_primes  -             -              0.69177350427350427350427350427350427350427350427350                  577
    1878      1253  between_primes  -             -              0.66719914802981895633652822151224707135250266240682                  625
    1932      1403  between_primes  -             -              0.72619047619047619047619047619047619047619047619048                  529
    1944      1295  neither         3,1 pattern   -              0.66615226337448559670781893004115226337448559670782                  649
    1950      1469  between_primes  -             -              0.75333333333333333333333333333333333333333333333333                  481
    1998      1349  between_primes  -             -              0.67517517517517517517517517517517517517517517517518                  649
    2028      1403  between_primes  -             -              0.69181459566074950690335305719921104536489151873767                  625
    2082      1389  between_primes  -             -              0.66714697406340057636887608069164265129682997118156                  693
    2088      1415  between_primes  -             -              0.67768199233716475095785440613026819923371647509579                  673
    2112      1471  between_primes  -             -              0.69649621212121212121212121212121212121212121212121                  641
    2130      1569  between_primes  -             -              0.73661971830985915492957746478873239436619718309859                  561
    2142      1565  between_primes  -             -              0.73062558356676003734827264239028944911297852474323                  577
    2238      1493  between_primes  -             -              0.66711349419124218051831992850759606791778373547811                  745
    2268      1619  between_primes  -             -              0.71384479717813051146384479717813051146384479717813                  649
    2304      1535  neither         3,1 pattern   -              0.66623263888888888888888888888888888888888888888889                  769
    2310      1829  between_primes  -             -              0.79177489177489177489177489177489177489177489177489                  481
    2340      1763  between_primes  -             -              0.75341880341880341880341880341880341880341880341880                  577
    2382      1589  between_primes  -             -              0.66708648194794290512174643157010915197313182199832                  793
    2550      1909  between_primes  -             -              0.74862745098039215686274509803921568627450980392157                  641
    2592      1727  between_primes  3,1 pattern   both           0.66628086419753086419753086419753086419753086419753                  865
    2658      1773  between_primes  -             -              0.66704288939051918735891647855530474040632054176072                  885
    2688      1919  between_primes  -             -              0.71391369047619047619047619047619047619047619047619                  769
    2712      1815  between_primes  -             -              0.66924778761061946902654867256637168141592920353982                  897
    2730      2153  between_primes  -             -              0.78864468864468864468864468864468864468864468864469                  577
    2790      2069  between_primes  -             -              0.74157706093189964157706093189964157706093189964158                  721
    2802      1869  between_primes  -             -              0.66702355460385438972162740899357601713062098501071                  933
    2916      1943  neither         3,1 pattern   -              0.66632373113854595336076817558299039780521262002743                  973
    2970      2249  between_primes  -             -              0.75723905723905723905723905723905723905723905723906                  721
    3000      2199  between_primes  -             -              0.73300000000000000000000000000000000000000000000000                  801
    3072      2047  neither         3,1 pattern   -              0.66634114583333333333333333333333333333333333333333                 1025
    3120      2351  between_primes  -             -              0.75352564102564102564102564102564102564102564102564                  769
    3168      2207  between_primes  -             -              0.69665404040404040404040404040404040404040404040404                  961
    3252      2171  between_primes  -             -              0.66758917589175891758917589175891758917589175891759                 1081
    3258      2177  between_primes  -             -              0.66820135052179251074278698588090853284223449969306                 1081
    3300      2499  between_primes  -             -              0.75727272727272727272727272727272727272727272727273                  801
    3330      2465  between_primes  -             -              0.74024024024024024024024024024024024024024024024024                  865
    3360      2591  between_primes  -             -              0.77113095238095238095238095238095238095238095238095                  769
    3372      2251  between_primes  -             -              0.66755634638196915776986951364175563463819691577699                 1121
    3390      2493  between_primes  -             -              0.73539823008849557522123893805309734513274336283186                  897
    3456      2303  neither         3,1 pattern   -              0.66637731481481481481481481481481481481481481481481                 1153
    3462      2309  between_primes  -             -              0.66695551704217215482380127094165222414789139225881                 1153
    3468      2379  between_primes  -             -              0.68598615916955017301038062283737024221453287197232                 1089
    3528      2519  between_primes  -             -              0.71400226757369614512471655328798185941043083900227                 1009
    3540      2611  between_primes  -             -              0.73757062146892655367231638418079096045197740112994                  929
    3558      2373  between_primes  -             -              0.66694772344013490725126475548060708263069139966273                 1185
    3582      2393  between_primes  -             -              0.66806253489670575097710776102735901730876605248465                 1189
    3672      2519  between_primes  -             -              0.68600217864923747276688453159041394335511982570806                 1153
    3768      2519  between_primes  -             -              0.66852441613588110403397027600849256900212314225053                 1249
    3822      2813  between_primes  -             -              0.73600209314495028780743066457352171637885923600209                 1009
    3852      2579  between_primes  -             -              0.66952232606438213914849428868120456905503634475597                 1273
    3888      2591  neither         3,1 pattern   -              0.66640946502057613168724279835390946502057613168724                 1297
    3918      2613  between_primes  -             -              0.66692189892802450229709035222052067381316998468606                 1305
    3930      2889  between_primes  -             -              0.73511450381679389312977099236641221374045801526718                 1041
    4002      2769  between_primes  -             -              0.69190404797601199400299850074962518740629685157421                 1233
    4020      2963  between_primes  -             -              0.73706467661691542288557213930348258706467661691542                 1057
    4050      2969  between_primes  -             -              0.73308641975308641975308641975308641975308641975309                 1081
    4092      2891  between_primes  -             -              0.70650048875855327468230694037145650048875855327468                 1201
    4128      2783  between_primes  -             -              0.67417635658914728682170542635658914728682170542636                 1345
    4158      3077  between_primes  -             -              0.74001924001924001924001924001924001924001924001924                 1081
    4218      2921  between_primes  -             -              0.69250829777145566619250829777145566619250829777146                 1297
    4230      3125  between_primes  -             -              0.73877068557919621749408983451536643026004728132388                 1105
    4242      3041  between_primes  -             -              0.71687883074021687883074021687883074021687883074022                 1201
    4260      3139  between_primes  -             -              0.73685446009389671361502347417840375586854460093897                 1121
    4272      2863  between_primes  -             -              0.67017790262172284644194756554307116104868913857678                 1409
    4338      2897  between_primes  -             -              0.66781927155371138773628400184416781927155371138774                 1441
